Title,Artist,Male Key,Female Key,BPM,Time Signature,Themes,Tags
At The Cross (Love Ran Red),Chris Tomlin,G,C,73,4/4,cross; forgiveness; surrender,modern; ccli_top; cross; surrender
Behold The Lamb (Communion Hymn),Keith & Kristyn Getty,D,G,68,4/4,communion; remembrance; unity,modern_hymn; communion; remembrance; unity
Come As You Are,Crowder,B,D,84,4/4,grace; invitation; repentance; belonging,modern; grace; invitation; response_song
All My Hope,Crowder,A,C,68,4/4,hope; faith; suffering; trust,modern; hope; pastoral; faith
Run Devil Run,Crowder,E,G,142,4/4,victory; spiritual-warfare; joy; freedom,modern; upbeat; victory; celebration
I Know A Ghost,Crowder,E,G,150,4/4,holy-spirit; joy; testimony; bold-faith,modern; holy-spirit; testimony; celebration
How He Loves,Crowder,G,B,72,4/4,love-of-god; grace; awe; surrender,modern; love-of-god; grace; worship
Build Your Kingdom Here,Rend Collective,A,C,152,4/4,mission; revival; kingdom-of-god; prayer,modern; mission; kingdom; upbeat
My Lighthouse,Rend Collective,D,F,130,4/4,faithfulness; guidance; hope; joy,modern; faithfulness; joy; family_friendly
Counting Every Blessing,Rend Collective,D,F,130,4/4,gratitude; joy; providence; testimony,modern; gratitude; joy; testimony
Joy of the Lord,Rend Collective,D,F,147,4/4,joy; strength; freedom; celebration,modern; joy; celebration; service_opener
Hallelujah Anyway,Rend Collective,A,C,138,4/4,perseverance; praise-in-trials; hope; faith,modern; perseverance; praise; resilience
Spirit of the Living God,Vertical Worship,E,G,74,4/4,holy-spirit; renewal; presence-of-god; surrender,modern; holy-spirit; prayer; renewal
Found In You,Vertical Worship,A,C,72,4/4,identity; grace; surrender; security-in-christ,modern; identity; grace; surrender
Open Up The Heavens,Vertical Worship,D,F,140,4/4,presence-of-god; praise; expectation; revival,modern; praise; expectation; service_opener
Your Love Never Fails,Jesus Culture,A,C,110,4/4,faithfulness; love-of-god; hope; perseverance,modern; faithfulness; love-of-god; joy
Holy Spirit Come,Jesus Culture,D,F,70,4/4,holy-spirit; presence-of-god; revival; prayer,modern; holy-spirit; prayer; revival
One Thing Remains,Jesus Culture,B,D,86,4/4,love-of-god; assurance; faithfulness; identity,modern; love-of-god; assurance; ccli_top
Stand In Your Love,Bethel Music,D,F,80,4/4,fear; courage; love-of-god; victory,modern; courage; faith; declaration
Living Waters,Gateway Worship,D,F,78,4/4,holy-spirit; thirst; renewal; presence-of-god,modern; holy-spirit; prayer; renewal
Firm Foundation (He Won't),Maverick City Music,C,E,77,4/4,trust; stability; faithfulness; perseverance,modern; trust; faithfulness; declaration
Christ Is Enough,Hillsong Worship,G,B,76,4/4,sufficiency-of-christ; surrender; discipleship; hope,modern; surrender; discipleship; christ_exalting
Here Again,Elevation Worship,B,D,68,4/4,presence-of-god; dependence; surrender; prayer,modern; presence-of-god; prayer; surrender
Be Still,Cody Carnes,D,F,70,4/4,peace; stillness; trust; presence-of-god,modern; peace; stillness; prayer
Simple Gospel,United Pursuit,D,F,66,4/4,gospel; simplicity; devotion; love-for-jesus,modern; gospel; devotion; intimate
God I Look To You,Bethel Music,G,B,71,4/4,guidance; dependence; trust; prayer,modern; guidance; prayer; dependence
I Will Trust In You,Lauren Daigle,F,A,74,4/4,trust; faithfulness; peace; perseverance,modern; trust; peace; pastoral
Though You Slay Me,Shane & Shane,C,E,68,4/4,suffering; trust; lament; faith,modern; lament; suffering; faith
Praise Before My Breakthrough,Bryan & Katie Torwalt,D,F,140,4/4,praise; faith; perseverance; victory,modern; praise; faith; declaration
Won't Stop Now,Elevation Worship,B,D,150,4/4,victory; faith; confidence; praise,modern; victory; celebration; faith
Victory Belongs To Jesus,Todd Dulaney,A,C,92,4/4,victory; jesus; faith; declaration,modern; victory; declaration; faith
God You're So Good,Passion,C,E,74,4/4,goodness-of-god; gratitude; worship; testimony,modern; gratitude; worship; testimony
Let Everything That Has Breath,Matt Redman,D,F,150,4/4,praise; joy; worship; celebration,modern; praise; celebration; service_opener
The Wonderful Cross,Chris Tomlin,G,B,70,4/4,cross; grace; atonement; worship,modern_hymn; cross; communion; holy_week
Christ Be Magnified,Cody Carnes,G,B,72,4/4,surrender; worship; glory-of-christ; humility,modern; surrender; christ_exalting; worship
Hungry,Kathryn Scott,D,F,68,4/4,hunger-for-god; presence-of-god; dependence; prayer,modern; prayer; presence-of-god; intimate
As The Deer,Modern Arrangement,D,F,72,4/4,thirst; devotion; worship; longing-for-god,classic; devotion; worship; thirst
Breathe,Marie Barnett,D,F,68,4/4,dependence; prayer; presence-of-god; intimacy,classic; prayer; intimacy; dependence
Waiting Here For You,Christy Nockels,D,F,70,4/4,presence-of-god; stillness; prayer; adoration,modern; presence-of-god; prayer; stillness
Still,Hillsong Worship,D,F,66,4/4,peace; trust; presence-of-god; hope,modern; peace; stillness; pastoral
I Need You More,Jesus Culture,D,F,70,4/4,dependence; surrender; prayer; intimacy,modern; prayer; dependence; intimate
Healer,Hillsong Worship,A,C,68,4/4,healing; faith; hope; prayer,modern; healing; prayer; pastoral
You Never Let Go,Matt Redman,B,D,120,4/4,faithfulness; perseverance; trust; joy,modern; faithfulness; joy; celebration
Ever Be,Bethel Music,G,B,74,4/4,faithfulness; praise; testimony; worship,modern; praise; faithfulness; testimony
Forever (We Sing Hallelujah),Bethel Music,G,B,68,4/4,resurrection; victory; worship; hope,modern; resurrection; easter; victory
God Is Able,Hillsong Worship,B,D,134,4/4,power-of-god; faith; hope; praise,modern; power-of-god; faith; celebration
Hosanna (Praise Is Rising),Paul Baloche,E,G,140,4/4,praise; adoration; welcome-of-jesus; celebration,modern; praise; service_opener; celebration
Refiner,Maverick City Music,A,C,74,4/4,sanctification; surrender; holiness; prayer,modern; sanctification; prayer; surrender
God Of Revival,Bethel Music,E,G,130,4/4,revival; holy-spirit; prayer; renewal,modern; revival; prayer; holy-spirit
He Will Hold Me Fast,Keith & Kristyn Getty,D,G,72,6/8,assurance; perseverance; grace; security,modern_hymn; assurance; perseverance; grace
Psalm 51 (Lord Have Mercy),Shane & Shane,D,G,70,4/4,repentance; confession; mercy; prayer,modern; confession; psalm; mercy
Holy Forever,Chris Tomlin,Db,E,72,4/4,holiness; heavenly_worship; adoration; eternity,modern; slow
Gratitude,Brandon Lake,B,D,78,4/4,gratitude; praise; testimony; adoration,modern; slow
Trust In God,Elevation Worship,C,Eb,74,4/4,trust; faithfulness; perseverance; confidence_in_god,modern; slow
Praise,Elevation Worship,A,C,127,4/4,praise; joy; adoration; call_to_worship,modern; upbeat
I Thank God,Maverick City Music & UPPERROOM,Db,E,130,4/4,testimony; salvation; freedom; joy,modern; upbeat
Who Else,Gateway Worship,Ab,C,68,4/4,holiness; gods_attributes; adoration; worthy_lamb,modern; slow
The Lord Will Provide,Passion,B,D,68,4/4,provision; trust; faithfulness; dependence,modern; slow
The Church,Bethel Music,Gb,Bb,69,4/4,church_and_unity; presence_of_god; prayer; revival,modern; slow
Mighty Name Of Jesus,The Belonging Co,Eb,G,72,4/4,spiritual_authority; prayer; victory; name_of_jesus,modern; slow
Christus Victor (Amen),Keith & Kristyn Getty,F,Ab,77,4/4,victory; cross; resurrection; gospel,modern; slow
I Know A Name,Elevation Worship,C,Eb,86,4/4,name_of_jesus; faith; healing; resurrection_power,modern
Oceans (Where Feet May Fail),Hillsong UNITED,D,F,63,4/4,trust; faith; surrender; presence_of_god,modern; slow
Here I Am To Worship,Tim Hughes,E,G,66,4/4,adoration; incarnation; surrender; worship,modern; slow
Forever Reign,Hillsong Worship,G,B,72,4/4,kingship_of_jesus; grace; hope; worship,modern; slow
The Stand,Hillsong UNITED,C,Eb,90,4/4,surrender; devotion; lordship_of_jesus; commitment,modern
I Surrender,Hillsong Worship,F,Ab,77,4/4,surrender; repentance; dependence; prayer,modern; slow
"Lord, I Lift Your Name on High",Rick Founds,G,Bb,112,4/4,praise; gospel_narrative; joy; exaltation,modern; upbeat
In the Secret,Sonicflood,E,G,70,4/4,intimacy; presence_of_god; devotion; prayer,modern; slow
Trading My Sorrows,Darrell Evans,E,G,120,4/4,joy; freedom; perseverance; praise,modern; upbeat
Better Is One Day,Matt Redman,A,C,120,4/4,presence_of_god; worship; desire_for_god; joy,modern; upbeat
All I Need Is You,Hillsong UNITED,C,Eb,70,4/4,dependence; grace; surrender; worship,modern; slow
Come Thou Fount,Traditional,D,F,84,4/4,grace; worship; gods_faithfulness; devotion,modern
Be Thou My Vision,Traditional,D,F,72,4/4,devotion; lordship_of_jesus; wisdom; worship,modern; slow
Great Is Thy Faithfulness,Traditional,D,F,90,4/4,faithfulness; providence; hope; praise,modern
It Is Well (traditional),Traditional,D,F,70,4/4,peace; suffering; trust; hope,modern; slow
It Is Well (modern arrangement),Bethel Music,D,F,68,4/4,peace; trust; hope; presence_of_god,modern; slow
Doxology (Praise God From Whom All Blessings Flow),Traditional,G,Bb,96,4/4,praise; trinity; benediction; adoration,modern
Blessed Assurance,Traditional,D,F,92,4/4,assurance; salvation; joy; confidence_in_christ,modern
Turn Your Eyes Upon Jesus,Traditional,D,F,72,4/4,gaze_on_jesus; hope; surrender; worship,modern; slow
All Creatures of Our God and King,Traditional,D,F,112,4/4,creation; praise; adoration; joy,modern; upbeat
Rock of Ages,Traditional,D,F,70,4/4,grace; atonement; refuge; trust,modern; slow
What a Friend We Have in Jesus,Traditional,D,F,90,4/4,prayer; comfort; friendship_with_jesus; trust,modern
O Holy Night,Traditional,C,Eb,68,4/4,incarnation; awe; christmas; worship,modern; slow
O Come All Ye Faithful,Traditional,G,Bb,100,4/4,incarnation; adoration; christmas; praise,modern
Hark! The Herald Angels Sing,Traditional,G,Bb,108,4/4,incarnation; good_news; christmas; praise,modern
Angels We Have Heard on High,Traditional,G,Bb,120,4/4,christmas; praise; good_news; joy,modern; upbeat
Joy to the World,Traditional,D,F,120,4/4,kingship_of_jesus; christmas; joy; praise,modern; upbeat
Doxology (Modern Arrangement),Modern Arrangement,D,F,72,4/4,doxology; trinity; praise; benediction,modern; slow
Come Thou Fount (Modern Arrangement),Modern Arrangement,C,Eb,74,4/4,grace; worship; gods_faithfulness; devotion,modern; slow
Be Thou My Vision (Modern Arrangement),Modern Arrangement,D,F,72,4/4,devotion; discipleship; lordship_of_jesus; worship,modern; slow
Great Is Thy Faithfulness (Modern Arrangement),Modern Arrangement,C,Eb,82,4/4,faithfulness; providence; hope; praise,modern
Blessed Assurance (Modern Arrangement),Modern Arrangement,D,F,84,4/4,assurance; salvation; joy; confidence_in_christ,modern
All Creatures of Our God and King (Modern Arrangement),Modern Arrangement,D,F,112,4/4,creation; praise; joy; adoration,modern; upbeat
O Come All Ye Faithful (Modern Arrangement),Modern Arrangement,G,Bb,96,4/4,incarnation; adoration; christmas; praise,modern
Joy to the World (Modern Arrangement),Modern Arrangement,D,F,120,4/4,kingship_of_jesus; joy; christmas; praise,modern; upbeat
I Speak Jesus,Charity Gayle,G,Bb,76,4/4,name_of_jesus; healing; freedom; spiritual_warfare,modern; slow
This Is Our God,Phil Wickham,B,D,78,4/4,gospel; testimony; salvation; praise,modern; slow
God So Loved,We The Kingdom,G,Bb,75,4/4,invitation; gospel; grace; salvation,modern; slow
The Joy,The Belonging Co,Db,E,150,4/4,joy; strength; praise; celebration,modern; upbeat
No One Like The Lord (We Crown You),Circuit Rider Music,D,F,72,4/4,worthy; jesus_enthroned; adoration; revelation,modern; slow
Our God Reigns (Over All The Earth),"Martin Smith, Kari Jobe & Cody Carnes",E,G,74,4/4,kingship; sovereignty; praise; hope,modern; slow
What An Awesome God,Phil Wickham,G,Bb,73,4/4,awe; praise; gods_greatness; worship,modern; slow
Wonderful Counselor,Pat Barrett,E,G,86,4/4,help; guidance; peace; trust,modern
The Gift We Bring,The Belonging Co,D,F,90,4/4,christmas; incarnation; praise; worship_offering,modern
Rejoice Again,Lakewood Music,B,D,151,4/4,joy; encouragement; hope; praise,modern; upbeat
What A Savior,Rock City Worship,Eb,Gb,71,4/4,christmas; incarnation; gospel; adoration,modern; slow
All This In A Name,Pat Barrett,C,Eb,150,4/4,name_of_jesus; authority; praise; deliverance,modern; upbeat
Our Response,Bella Taylor Smith,G,Bb,68,4/4,surrender; obedience; worship_response; devotion,modern; slow
Forever & Amen,Cody Carnes,A,C,84,4/4,faithfulness; trust; prayer; praise,modern
Garment Of Praise,Martin Smith,E,G,126,4/4,joy; freedom; praise; breakthrough,modern; upbeat
Undignified,Brooke Ligertwood & Passion,A,C,146,4/4,joy; freedom; worship; abandon,modern; upbeat
Praise The Lord Forever,Pat Barrett,G,Bb,105,4/4,praise; faithfulness; endurance; thanksgiving,modern
Hallelujah In The Hard Things,Bryan & Katie Torwalt,Ab,B,75,4/4,suffering; trust; perseverance; praise,modern; slow
Worship!,TAYA,C,Eb,138,4/4,adoration; awe; praise; jesus,modern; upbeat
Keep On Finding More,John Allan & Mack Brock,Db,E,172,4/4,gratitude; testimony; joy; gods_goodness,modern; upbeat
How Good It Is,Chris Tomlin,Ab,B,112,4/4,praise; gods_goodness; thanksgiving; scripture,modern; upbeat
Hallelujah Everyday,The Belonging Co,Db,E,153,4/4,praise; joy; daily_worship; gratitude,modern; upbeat
I Will Rise,Chris Tomlin,C,Eb,74,4/4,resurrection_hope; eternal_life; comfort; heaven,modern; slow
Your Grace Is Enough,Matt Maher,G,Bb,126,4/4,grace; faithfulness; joy; praise,modern; upbeat
Your Great Name,Natalie Grant,B,D,72,4/4,name_of_jesus; healing; deliverance; worship,modern; slow
From The Inside Out,Hillsong UNITED,D,F,69,4/4,surrender; holiness; heart_change; devotion,modern; slow
Lead Me To The Cross,Hillsong UNITED,A,C,72,4/4,cross; surrender; grace; dependence,modern; slow
Because He Lives (Amen),Matt Maher,A,C,94,4/4,resurrection; hope; victory; gospel,modern
It Is Well (Kristene DiMarco / Bethel Music),Bethel Music,D,F,68,4/4,peace; trust; suffering; surrender,modern; slow
Great I Am,New Life Worship,A,C,66,4/4,holiness; gods_presence; reverence; adoration,modern; slow
Today Is The Day,Lincoln Brewster,A,C,106,4/4,joy; celebration; freedom; praise,modern
Christ Is Risen,Matt Maher,D,F,86,4/4,resurrection; victory; hope; gospel,modern
Happy Day,Tim Hughes,B,D,138,4/4,joy; salvation; celebration; praise,modern; upbeat
