Title,Artist,Male Key,Female Key,BPM,Time Signature,Themes,Tags,Scripture References,Theology & Meaning,Worship Leadership Tips,Arrangement Tips
King Of Kings,Hillsong Worship,D,F,68,4/4,gospel_story; incarnation; resurrection; church,modern; story; gospel_overview; seasonal,John 1:1-14; Luke 24:1-7; Acts 2:32-33,"This song traces the story of redemption from Christ's coming to His resurrection and the birth of the church. It anchors worshipers in the big narrative of the gospel rather than only in individual experience. The lyrics highlight Jesus as the King whose rule is established through humility, sacrifice, and victory over death.",Use this when you want your church to rehearse the gospel story together in a clear way. It works well in seasons like Advent and Easter or whenever a sermon series follows the life of Christ. Encourage people to engage with the story mentally as well as emotionally so they see how their lives fit into what God has done.,Treat the verses like chapters in a story and avoid rushing them so the narrative can land. Let the final chorus or tag carry a little more energy to reflect the victorious tone without losing clarity. A simple pad or piano under a spoken scripture before the last section can tie the whole song to a specific text.
"10,000 Reasons",Matt Redman,G,Bb,74,4/4,gratitude; faithfulness; lifelong-worship,modern_hymn; gratitude; intergenerational; flexible_style,Psalm 103:1-5; Psalm 145:1-3,"This modern hymn invites believers to bless the Lord in every season and to remember the countless reasons He is worthy of praise. It draws heavily on the psalms and frames worship as a lifelong response, from morning to evening and into eternity. The emphasis is on the goodness and mercy of God which gives courage for both present and future.","This is a versatile song that can fit in traditional or modern contexts and across generations. It works beautifully in services of gratitude, memorials, or moments where you want to acknowledge God's care over a long journey. Invite older and younger believers to sing it together so the room feels the intergenerational nature of worship.",Keep the instrumentation accessible and not overly modern if your church is diverse in style preference. Acoustic guitar or piano can carry the song well with tasteful support from other instruments. Consider having the final chorus gently drop in volume to create a reflective ending rather than always building to the biggest moment.
Great Things,Phil Wickham,B,D,126,4/4,victory; praise; redemption; celebration,modern; upbeat; celebration; service_opener,Psalm 126:3; Luke 1:49; Colossians 1:13,This upbeat song praises God for the great things He has done in rescuing His people and defeating the power of darkness. The focus stays on the work of Christ and the freedom believers have through Him. It is a celebration of grace that helps the church respond with joy and confidence in God's ongoing activity.,This is a strong first or second song that can wake up a room and direct that energy toward the Lord. It fits well after baptisms or testimonies and can open a series about freedom or redemption. Encourage your team to smile and model joy so it does not feel like a fast song that is sung with serious faces.,"Rhythm section needs to be locked in so the tempo stays steady and does not rush. Keep melodic lines clear, especially in the verses where phrasing can go by quickly. If your congregation is new to it, consider repeating the chorus at the end with simpler instrumentation to let them own it."
Glorious Day,Passion,D,F,144,4/4,salvation; testimony; freedom; resurrection,modern; testimony; baptism; youth_energy,Ephesians 2:4-7; 2 Corinthians 5:17; Romans 6:4,"This song tells the story of moving from death to life because of Christ, celebrating the moment He called us out of the grave of sin and shame. It highlights personal transformation rooted in the finished work of Jesus. The language is testimonial and points to the joy and freedom of a new identity in Christ.","Use this around baptism, testimonies, or youth nights where you want to celebrate salvation in a bold way. It is high energy so pair it with moments where the room is ready to move and sing loudly. Remind people that even if they do not have a dramatic story, they have the same miracle of being brought from death to life.","Because of the faster tempo, clarity from the drummer and click is crucial so the band stays tight. Keep guitars and keys driving the rhythm together rather than competing. Consider dropping into half time briefly before the last chorus to let the church catch a breath and then explode into the final section."
Lord I Need You,Matt Maher,D,F,72,4/4,dependence; confession; grace; prayer,modern_hymn; confession; ministry_time; prayer_song,John 15:5; Psalm 40:1-3; Hebrews 4:15-16,"This song is a prayer of dependence that acknowledges our constant need for the presence and mercy of God. It frames weakness not as failure but as the very place where grace meets us. The theology is simple and pastoral, helping people admit their brokenness and reach for the help of Christ.","This is ideal for confession moments, altar times, or quiet ministry spaces in a service. It can follow a sermon on sin, repentance, or spiritual dryness and gives people language for humility. Invite the room to sit or kneel and sing it as prayer rather than a performance moment.",Piano or acoustic guitar can carry this effectively with light support from other instruments. Keep the tempo relaxed and resist over embellishing the melody so people feel safe to sing. A softer dynamic overall will help the vulnerability of the lyric land.
In Christ Alone,Keith Getty & Stuart Townend,D,F,68,3/4,christ_central; cross; resurrection; assurance,modern_hymn; doctrinal; cross_centered; intergenerational,Philippians 3:8-10; Romans 8:31-39; 1 Corinthians 15:54-57,"This modern hymn walks through the life, death, and resurrection of Christ and the security believers have in Him. It is rich in doctrine, touching on atonement, victory over death, and unshakable hope. The song keeps Christ at the center and leaves worshipers with a deep sense of confidence in His finished work.","This can anchor a more theologically focused service and works well in communion, Easter, or Reformation type gatherings. It also bridges traditional and modern styles which can help unite different generations. Encourage people to really listen as they sing so the story sinks beyond the melody.","You can lead this with a very simple accompaniment or with a full band that still leaves space for voices. The triple meter can feel unfamiliar for some, so keep the tempo steady and supportive. Call and response on a verse or two can draw in those who are newer to the song."
The Lion And The Lamb,Bethel Music,B,D,90,4/4,kingship; victory; cross-and-crown,modern; kingship; victory; upbeat,Revelation 5:5-6; Philippians 2:9-11,This song declares Jesus as both the conquering Lion and the sacrificial Lamb. It highlights His authority over all nations and His victory through humility and the cross. The contrasts in the language help the church remember that the King we worship rules through self giving love.,Use this when you want to focus your church on the lordship of Christ and the hope of His return. It can serve as a strong up tempo song in the middle of a set that emphasizes His rule. Invite people to consider areas of life that need to bow to Jesus as they sing.,Lock the groove with the drummer and bass so the song feels strong but not rushed. Guitars can carry the main riffs but watch volume so vocals remain clear. Consider ending with a repeated chorus that gradually simplifies instrumentally to let the church carry it out.
How Great Is Our God,Chris Tomlin,G,Bb,76,4/4,greatness-of-god; trinity; praise,modern_classic; praise; intergenerational; flexible,Psalm 104:1-2; 1 Chronicles 29:11,"This classic modern worship song exalts the greatness of God, referencing His eternal nature, strength, and beauty. It hints at Trinitarian language and lifts up the name of Jesus among the nations. The simplicity of the lyric makes it easy for all ages to sing together while still pointing to deep truths.",This is an anchor song that can be used almost anywhere in a gathering. It works well when your church needs a familiar moment or when you want a simple declaration everyone can grab. Invite older saints to sing out and let the younger ones feel the weight of a song that has served the church for years.,"It can be led very simply or with a full band, but the key is to keep the melody out front and singable. Resist the urge to over complicate it with too many tags. A key change can serve the room if it is not forced."
The Blessing,Kari Jobe & Cody Carnes,Bb,D,72,4/4,blessing; generations; favor; presence,modern; benediction; family; special_moments,Numbers 6:24-26; Deuteronomy 7:9,"This song is built around biblical words of blessing that speak God's favor, presence, and peace over His people and their families. It highlights the multi generational nature of God's covenant love. The focus is not on prosperity but on God being with His people in every season and across generations.","Use this over baby dedications, graduations, send offs, or any moment when you want to speak blessing over your church. It can also be powerful at the end of a service with leaders singing it over the congregation. Remind people that these promises are rooted in God's character, not our ability to earn them.","Because of its length and repetition, be thoughtful with dynamics and how many times you repeat each section. Layer harmonies carefully so it feels like a choir of blessing rather than a wall of sound. Consider having leaders face the congregation and sing it over them at least once."
Cornerstone,Hillsong Worship,C,E,72,4/4,christ_our_rock; grace; hope; security,modern_hymn; foundation; comfort; storm,Ephesians 2:19-22; 1 Peter 2:4-6,This remix of a historic hymn centers on Christ as the cornerstone of our faith and hope. It emphasizes grace in the middle of storms and the security believers have in Jesus alone. The theology ties present comfort to future hope when we see Him face to face.,This is helpful in seasons of uncertainty or when you want to remind your church where their true foundation lies. It works well both in more traditional services and fully modern contexts. Encourage people who feel shaken to picture themselves standing on the solid rock of Christ as they sing.,Honor the melodic simplicity of the original hymn while allowing modern textures to support it. Keep the tempo steady and avoid dragging so the song does not feel heavy. Use a strong but not overwhelming build into the final chorus to reflect confidence in Christ.
See A Victory,Elevation Worship,Bb,D,76,4/4,spiritual-battle; trust; sovereignty,modern; battle; encouragement; trust,Genesis 50:20; Romans 8:28,This song declares faith that God will work even what the enemy means for evil into good. It frames spiritual battle through the lens of God's sovereignty and ultimate victory. The focus is on trusting His character and promises even before the outcome is visible.,"Use this in seasons where your church is facing resistance or confusion and needs to be reminded of God's larger story. It can follow a message on suffering, perseverance, or spiritual warfare. Encourage authenticity so people are not pretending the battle is easy while they sing.",The groove and repeated phrases can be powerful if you manage dynamics well. Build slowly and avoid staying at maximum volume for too long. A quieter reprise of the chorus at the end can help the declaration sink in more deeply.
Reckless Love,Cory Asbury,G,Bb,84,6/8,love-of-god; pursuit; grace,modern; love_of_god; ministry_nights; pastoral_moment,Luke 15:3-7; Romans 5:8,"This song celebrates the pursuing love of God who comes after lost and broken people with compassion. It draws imagery from the parable of the lost sheep and from the cross as the ultimate act of love. When taught carefully, it can help people feel the heart of the Father toward them in their weakness.","If your context has questions about the word choices in the song, take a moment to teach into what you mean when you sing it. Use it when you want to highlight God's initiative in salvation and His patience with wanderers. It can be especially meaningful in nights of ministry focused on prodigals and those returning to faith.",Keep the 6/8 feel smooth and not rushed so people can relax into the rhythm. The build in the bridge should feel like a swell of gratitude rather than a forced shout. Simpler instrumentation during part of the bridge can give the congregation room to truly respond.
King Of My Heart,John Mark & Sarah McMillan,G,Bb,68,4/4,goodness-of-god; trust; surrender,modern; trust; comfort; reflection,Psalm 73:25-26; Nahum 1:7,"This song declares God as the source of goodness, strength, and security for the believer. It emphasizes that in every season He remains good and trustworthy. The repetition helps that truth move from the head to the heart in seasons of doubt or pain.","This song can be a gentle but powerful way to process grief, uncertainty, or disappointment with your church. Encourage people to bring honest questions to God while still choosing to declare His goodness. It often works best in the middle or end of a set rather than as an opener.","Because of the repetition, dynamics and texture changes are important. Start simply and build gradually, perhaps dropping to almost nothing for part of the refrain so the church can carry the line. Avoid driving the tempo too hard so it retains its reflective nature."
O Come To The Altar,Elevation Worship,Bb,D,72,6/8,invitation; forgiveness; grace; repentance,modern; altar_call; ministry_time; gentle,Hebrews 4:16; Matthew 11:28-30,This song invites weary and broken people to bring their sin and sorrow to Jesus who offers forgiveness and rest. It communicates the open arms of the Father and the sufficiency of Christ's sacrifice. The tone is tender and pastoral and can become a doorway to real repentance and healing.,"Use this in altar calls, ministry nights, or after messages on repentance, shame, or return. Consider literally inviting people to come forward, receive prayer, or kneel where they are. Frame the song clearly so it is obvious that the invitation is to Jesus Himself, not to a moment or a band.",Keep instrumentation simple and supportive so the invitation does not feel like a performance. Give plenty of space between phrases for the Holy Spirit to work and for people to move. Avoid making the ending too big; a gentle finish often serves the moment better.
Amazing Grace (My Chains Are Gone),Chris Tomlin,D,F,72,3/4,grace; freedom; assurance,modern_hymn; grace; freedom; communion,Ephesians 2:8-9; Romans 6:6-7,This adaptation of the classic hymn celebrates the grace of God that saves and frees from the chains of sin. It preserves the rich theology of the original while adding a refrain that emphasizes personal freedom in Christ. The combination of old and new can help multiple generations sing the story of grace together.,"Use this in communion services, testimonies of deliverance, or any time you want to center on grace. It also works in more blended services where you are trying to serve both hymn lovers and modern worshipers. Encourage people to remember what God has brought them from while they sing.",Let the hymn verses lead and keep accompaniment tasteful and not overly complex. The refrain can open up dynamically but should not overshadow the verses. A simple instrumental break can give space for reflection.
O Praise The Name (An'e1stasis),Hillsong Worship,D,F,72,3/4,cross; resurrection; return-of-christ; praise,modern; easter; story; communion,Luke 23:33-46; Luke 24:1-7; Revelation 22:20,"This song retells the story of the crucifixion, burial, resurrection, and promised return of Jesus. It keeps the focus on Christ's work and ends with a longing for His coming. The language is vivid and helps the church imagine the events of the gospel with fresh awe.",This is a strong Easter song but also works throughout the year wherever you want to retell the story of Jesus. It fits well around communion or in series that walk through the passion narrative. Invite people to picture the scenes as they sing rather than just recite familiar lines.,The 3/4 meter gives it a processional feel that can be powerful if kept steady. Build the final verse and chorus in a way that reflects the triumph of the resurrection without losing clarity. A gentle intro and outro can frame the song with reverence.
Good Good Father,Chris Tomlin,A,C,72,6/8,father_heart_of_god; identity; love,modern; fatherhood_of_god; healing; identity,1 John 3:1; Psalm 103:13,This song reflects on God as a kind and trustworthy Father and on our identity as loved children. It helps heal distorted pictures of God by emphasizing His goodness and care. The focus is on receiving love more than proving worth.,"Use this when your church needs to sit under the Father's heart, especially around Father's Day or in contexts with deep father wounds. Offer pastoral language that acknowledges broken experiences while pointing to the perfect love of God. It can be especially meaningful in slower, reflective sets.","Keep the feel gentle and steady, allowing room for people to really sing the simple melody. Avoid over extending repetition so the song does not feel sentimental. Consider a moment of spoken prayer over the congregation between sections."
How Great Thou Art,Traditional,A,C,72,3/4,creation; cross; second-coming; awe,hymn; classic; awe; intergenerational,Psalm 19:1-4; Romans 8:18-21,"This classic hymn marvels at God's greatness in creation, redemption, and future glory. It moves from the beauty of the world to the wonder of the cross and the hope of Christ's return. The theology is God centered and packed with awe and gratitude.","Use this when you want to connect your church to the broader history of worship and to give space for awe. It works well in blended services, funerals, and big celebration Sundays. Encourage the congregation to really sing out, letting the room feel like a choir.",You can lead this traditionally with piano or organ or give it a gentle modern setting with pads and light percussion. Keep the tempo moving so it does not drag. Consider dropping out instruments on the final chorus for a cappella impact.
Battle Belongs,Phil Wickham,B,D,82,4/4,spiritual-battle; trust; sovereignty,modern; battle; trust; encouragement,2 Chronicles 20:15-17; Romans 8:31,This song reminds believers that the battles they face ultimately belong to the Lord who fights for them. It emphasizes prayerful surrender and confidence in God's power rather than self sufficiency. The language is hopeful and lifts eyes from fear to the presence of God.,Use this when your church needs courage in the face of uncertainty or opposition. It fits after messages on spiritual warfare or trust. Encourage people to picture specific battles they are handing over to God as they sing.,Keep the verses controlled and let the chorus open up to reflect the confidence of the lyric. Guitars and drums should support rather than dominate. A quieter bridge repeat can offer a powerful contrast to the main dynamic.
Yes I Will,Vertical Worship,C,E,86,4/4,choice-to-worship; faith-in-trial; praise,modern; faithfulness; choice; mid_tempo,Habakkuk 3:17-18; Psalm 34:1,"This song is a declaration that we will choose to worship God in every season, including valleys and waiting. It frames praise as a decision rooted in God's character, not in circumstances. The theology is simple and helps believers practice steadfast trust.",Use this when you want to call your church to resilient worship. It can follow testimonies that include pain as well as joy. Invite people to think about what it means to say yes to God even when answers are delayed.,Keep the groove steady and invite the room to clap or move if that fits your context. Harmonies in the chorus can reinforce the communal nature of the declaration. Do not stretch the bridge too long so the song does not feel repetitive.
Revelation Song,Kari Jobe,D,F,66,4/4,holiness; throne-room; worship_of_the_lamb,modern; throne_room; awe; extended_worship,Revelation 4; Revelation 5,"This song draws imagery directly from Revelation, painting a picture of the throne room where the Lamb is worshiped. It exalts the holiness and worthiness of God and invites the church to join in heaven's song. The emphasis is entirely on the character and glory of the Lord.",Use this when you want to lift the eyes of your church beyond their own lives and into the bigger reality of heaven. It works well in nights of worship or services that focus on the majesty of God. Encourage people to imagine joining with believers across time and space as they sing.,Keep the tempo relaxed and the arrangement spacious. Allow long pads and minimal rhythmic movement to create a sense of awe. Avoid over singing; let silence and sustained notes have space.
Holy Spirit,Bryan & Katie Torwalt,D,F,72,4/4,presence-of-god; spirit; surrender,modern; spirit; ministry_time; prayer,John 14:16-17; 2 Corinthians 3:17,This song welcomes the manifest work of the Holy Spirit in the gathered church. It emphasizes God's presence as precious and life changing. The theology is experiential but rooted in the biblical vision of God dwelling with His people.,"Use this when you want to make space for ministry, gifts of the Spirit, or extended prayer. Frame the song with clear teaching so people understand you are inviting the work of the Spirit in a way that aligns with scripture. Encourage both expectancy and surrender, not striving.","Keep things simple and reflective, giving plenty of room for spontaneous prayer or scripture readings. Avoid building too fast. A long, gentle outro can serve a ministry moment very well."
Do It Again,Elevation Worship,Bb,D,86,4/4,faithfulness; waiting; trust,modern; waiting; faithfulness; encouragement,Lamentations 3:22-24; Joshua 21:45,This song remembers God's past faithfulness and asks Him to move again in present circumstances. It acknowledges waiting and delay while clinging to promises. The focus is on the unchanging character of God rather than on our ability to stir up faith.,Use this in seasons where your church is praying for breakthrough that has not yet come. It can follow testimonies that highlight both tension and trust. Invite people to bring specific needs to mind and ask God to work again in those areas.,The repetitive bridge can be powerful if you manage dynamics carefully. Start smaller and build in waves rather than staying big the whole time. Leave space for spoken encouragements or scripture between repeats.
Hymn Of Heaven,Phil Wickham,D,F,70,4/4,heaven; hope; saints; worship,modern; heaven; remembrance; hope,Revelation 7:9-12; 1 Thessalonians 4:16-18,This song looks forward to the day when believers of every nation will worship around the throne of God. It ties present worship to future hope and honors those who have gone before us. The tone is both longing and confident in the promises of God.,"Use this in services of remembrance, funerals of believers, or any time you want to lift eyes toward eternity. It can help a grieving church remember that death is not the end. Encourage people to picture faces of saints who are now with Jesus while they sing.",Keep the verses tender and allow the chorus to open up without becoming rushed. Gentle swells from pads and electric guitar can create a sense of space. A quieter final refrain can leave the room in a posture of hopeful peace.
Is He Worthy,Andrew Peterson,E,G,72,3/4,call-and-response; worthiness-of-christ; lament-and-hope,modern_hymn; response; lament_and_hope; throne_room,Revelation 5:1-14; Romans 8:18-23,This song uses a call and response format to hold together the brokenness of the world and the worthiness of Christ. It acknowledges longing and groaning while pointing to the Lamb who is worthy to open the scroll. The theology is rich and deeply rooted in Revelation.,"This works best when you intentionally lead the call and response, letting the congregation answer clearly. It fits well in more reflective services or in seasons of cultural tension and pain. Take time to explain the Revelation imagery so people do not feel lost.",Simplicity serves this song. A piano or acoustic guitar with minimal support can help the call and response stand out. Keep the tempo steady and do not over extend the ending.
Jesus Messiah,Chris Tomlin,A,C,70,4/4,cross; atonement; lordship,modern; cross; communion; christ_central,2 Corinthians 5:21; 1 Peter 2:24,This song focuses on the person and work of Jesus as the Messiah who bears sin and brings righteousness. It includes strong atonement language and highlights His lordship. The chorus gives a simple declaration that centers a church on Christ.,Use this around communion or in messages centered on the cross. It can also help re center a set that has drifted too much toward our feelings rather than the work of Christ. Encourage people to reflect on what Jesus has carried for them personally.,You can lead this with a full band or a more pared down arrangement. Keep melodic phrasing clear. A slower dynamic build into the final chorus can reflect the gravity of the lyric.
Mighty To Save,Hillsong Worship,A,C,72,4/4,salvation; compassion; mission,modern_classic; salvation; mission; mid_tempo,Zephaniah 3:17; Romans 1:16,"This song declares that God is powerful to save and compassionate toward the lost. It moves from personal rescue to the mission of shining the light of Christ to the world. The theology holds together mercy, power, and sending.",Use this when you are calling your church to prayer for the lost or commissioning them to mission. It also works around evangelistic series. Encourage people to think of names and faces as they sing about God's saving power.,"A moderate tempo with clear drums and bass will help keep the song grounded. Do not let the bridge drag; keep energy steady. Invite the church to sing confidently, as a people who believe what they are declaring."
My Jesus,Anne Wilson,G,Bb,76,4/4,testimony; evangelism; hope,modern; testimony; evangelistic; story,Mark 5:19; 1 Peter 3:15,This song is a personal testimony about who Jesus is and how He transforms broken lives. It invites others to experience the same relationship with Him. The tone is conversational and can bridge between worship and witness.,"Use this in youth services, testimony Sundays, or outreach settings. It can help your church practice sharing about Jesus in everyday language. Encourage people to think about how they would personally describe Jesus to a friend.","Lean into the modern country pop feel if that fits your context, or simplify for a more general style. Keep it tight rhythmically. Make sure the story in the verses is understandable by not playing too loudly over the vocal."
Only King Forever,Elevation Worship,C,E,134,4/4,kingship; victory; praise,modern; upbeat; kingship; opener,1 Timothy 1:17; Psalm 145:13,This song exalts God as the eternal King whose kingdom has no end. It highlights His unmatched greatness and the stability of His rule. The song invites the church to respond with glad praise to the King who reigns forever.,Use this as a high energy opener that announces the kingship of God at the start of a gathering. It also fits well in youth or conference settings where you want to lift faith. Encourage the room to focus their joy toward the King rather than just enjoying the music.,"The tempo is quick, so clarity from drums and click is vital. Keep guitars and keys from overcrowding the mix. You might simplify rhythmic patterns to keep the church engaged rather than overwhelmed."
